numberOfAgents,numberOfCallsPerDay,averageHandleTimeSec,estimatedDurationDays,slaTargetSeconds,risksScore,callTypes,dependencies,CSAT,FCR,estimatedBudgetTND
20,400,280,180,74,0.13,"Support;Sales","CRM;AI",4.5,0.72,207360.00
21,420,270,190,72,0.12,"Support;Tech","CRM;AI",4.5,0.73,218880.00
22,440,260,200,70,0.11,"Support;Sales","CRM;AI",4.6,0.74,230400.00
23,460,250,210,68,0.10,"Support;Tech","CRM;AI",4.6,0.75,241920.00
24,480,240,220,66,0.10,"Support;Sales","CRM;AI",4.6,0.76,253440.00
25,500,230,230,64,0.09,"Support;Tech","CRM;AI",4.7,0.77,264960.00
26,520,220,240,62,0.09,"Support;Sales","CRM;AI",4.7,0.78,276480.00
27,540,210,250,60,0.08,"Support;Tech","CRM;AI",4.7,0.79,288000.00
28,560,200,260,58,0.08,"Support;Sales","CRM;AI",4.7,0.80,299520.00
29,580,195,270,56,0.07,"Support;Tech","CRM;AI",4.7,0.81,311040.00
30,600,190,280,55,0.07,"Support;Sales","CRM;AI",4.8,0.82,322560.00
31,620,185,290,54,0.06,"Support;Tech","CRM;AI",4.8,0.83,334080.00
32,640,180,300,53,0.06,"Support;Sales","CRM;AI",4.8,0.84,345600.00
33,660,178,310,52,0.06,"Support;Tech","CRM;AI",4.8,0.84,357120.00
34,680,176,320,51,0.05,"Support;Sales","CRM;AI",4.8,0.85,368640.00
35,700,174,330,50,0.05,"Support;Tech","CRM;AI",4.8,0.85,380160.00
36,720,172,340,49,0.05,"Support;Sales","CRM;AI",4.8,0.85,391680.00
37,740,170,350,48,0.05,"Support;Tech","CRM;AI",4.8,0.85,403200.00
38,760,168,360,47,0.05,"Support;Sales","CRM;AI",4.8,0.85,414720.00
39,780,166,365,46,0.05,"Support;Tech","CRM;AI",4.8,0.85,423360.00
40,800,165,365,45,0.05,"Support;Sales;Tech","CRM;AI",4.8,0.85,432000.00
4,70,610,25,125,0.42,"Sales","None",3.5,0.39,16560.00
5,85,590,28,120,0.40,"Sales","None",3.6,0.41,18720.00
6,110,560,35,115,0.36,"Sales;Support","None",3.7,0.44,34560.00
7,130,540,40,110,0.34,"Support","CRM",3.8,0.46,40320.00
8,160,520,50,105,0.31,"Support;Sales","CRM",3.9,0.49,46080.00
9,200,500,60,100,0.29,"Support","Training",4.0,0.51,51840.00
10,240,480,70,95,0.27,"Support;Tech","CRM;Training",4.0,0.54,57600.00
12,300,460,80,90,0.25,"Support;Tech","CRM;IVR",4.1,0.56,69120.00
14,360,440,90,85,0.23,"Support;Sales","CRM;WFM",4.1,0.58,82944.00
16,420,420,100,80,0.21,"Support;Tech","CRM;AI",4.2,0.60,96768.00
18,480,400,110,78,0.20,"Support;Sales","CRM;AI",4.2,0.62,110592.00
20,540,380,120,75,0.19,"Support;Tech","CRM;AI;WFM",4.3,0.64,124416.00
22,600,360,130,72,0.18,"Support;Sales;Tech","CRM;AI;WFM",4.3,0.66,138240.00
24,660,340,140,70,0.17,"Support","CRM;WFM",4.3,0.67,152064.00
26,720,320,150,68,0.16,"Support;Sales","CRM;WFM",4.4,0.69,165888.00
28,780,300,160,66,0.15,"Support;Tech","WFM;CTI",4.4,0.70,179712.00
30,840,290,170,64,0.14,"Support;Sales","CRM;AI;WFM",4.5,0.71,193536.00
32,900,280,180,62,0.13,"Support;Tech","CRM;AI;CTI",4.5,0.72,207360.00
34,960,270,190,60,0.12,"Support;Sales;Tech","CRM;AI;CTI;WFM",4.6,0.73,221184.00
36,1020,260,200,58,0.11,"Support;Tech","CRM;AI;WFM",4.6,0.74,235008.00
3,45,720,18,140,0.48,"Sales","None",3.4,0.36,10368.00
4,60,700,22,135,0.45,"Sales;Support","None",3.5,0.38,13824.00
5,75,680,26,130,0.42,"Support","None",3.6,0.40,17280.00
6,90,660,30,125,0.39,"Support;Sales","CRM",3.7,0.43,20736.00
7,105,640,34,120,0.36,"Support;Tech","CRM",3.8,0.45,24192.00
8,120,620,38,115,0.34,"Support;Sales","CRM;IVR",3.9,0.47,27648.00
9,135,600,42,110,0.32,"Support;Tech","CRM;Training",4.0,0.49,31104.00
10,150,580,46,105,0.30,"Support;Sales","CRM;WFM",4.0,0.51,34560.00
11,165,560,50,100,0.29,"Support;Tech","CRM;AI",4.1,0.53,38016.00
12,180,540,54,98,0.28,"Support;Sales;Tech","CRM;AI",4.1,0.54,41472.00
13,195,520,58,96,0.27,"Support","CRM;AI;WFM",4.2,0.56,44928.00
14,210,500,62,94,0.26,"Support;Sales","CRM;AI;WFM",4.2,0.57,48384.00
15,225,480,66,92,0.25,"Support;Tech","WFM;CTI",4.2,0.58,51840.00
16,240,460,70,90,0.24,"Support;Sales","CRM;IVR",4.3,0.59,55296.00
17,255,440,74,88,0.23,"Support;Tech","CRM;Training",4.3,0.60,58752.00
18,270,420,78,86,0.22,"Support;Sales;Tech","CRM;AI",4.4,0.61,62208.00
19,285,400,82,84,0.21,"Support","CRM;AI;WFM",4.4,0.62,65664.00
20,300,380,86,82,0.20,"Support;Sales","CRM;AI;WFM",4.4,0.63,69120.00
21,315,360,90,80,0.19,"Support;Tech","CRM;AI;CTI",4.5,0.64,72576.00
22,330,340,94,78,0.18,"Support;Sales;Tech","CRM;AI;CTI;WFM",4.5,0.65,76032.00
23,345,320,98,76,0.17,"Support","CRM;AI;WFM",4.5,0.66,79488.00
24,360,300,102,74,0.16,"Support;Tech","CRM;AI;WFM",4.6,0.67,82944.00
25,375,290,106,72,0.15,"Support;Sales","CRM;AI;WFM",4.6,0.68,86400.00
26,390,280,110,70,0.14,"Support;Tech","CRM;AI;WFM",4.6,0.69,89856.00
27,405,270,114,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.7,0.70,93312.00
28,420,260,118,66,0.12,"Support;Tech","CRM;AI;WFM",4.7,0.71,96768.00
29,435,250,122,64,0.11,"Support;Sales","CRM;AI;WFM",4.7,0.72,100224.00
30,450,240,126,62,0.10,"Support;Tech","CRM;AI;WFM",4.8,0.73,103680.00
2,35,820,12,155,0.52,"Sales","None",3.3,0.34,6912.00
3,50,780,16,150,0.48,"Sales;Support","None",3.4,0.36,11520.00
4,65,740,20,145,0.44,"Support","None",3.5,0.38,15360.00
5,80,700,24,140,0.40,"Support;Sales","None",3.6,0.40,19200.00
6,95,660,28,135,0.37,"Support;Tech","CRM",3.7,0.42,23040.00
7,110,620,32,130,0.35,"Support;Sales","CRM",3.8,0.44,26880.00
8,125,580,36,125,0.33,"Support;Tech","CRM;IVR",3.9,0.46,30720.00
9,140,540,40,120,0.31,"Support;Sales;Tech","CRM;Training",4.0,0.48,34560.00
10,155,500,44,115,0.30,"Support;Tech","CRM;WFM",4.0,0.50,38400.00
11,170,470,48,110,0.29,"Support;Sales","CRM;AI",4.1,0.52,42240.00
12,185,450,52,108,0.28,"Support;Tech","CRM;AI",4.1,0.53,46080.00
13,200,430,56,106,0.27,"Support;Sales;Tech","CRM;AI;WFM",4.2,0.54,49920.00
14,215,410,60,104,0.26,"Support;Tech","CRM;AI;WFM",4.2,0.55,53760.00
15,230,390,64,102,0.25,"Support;Sales","CRM;AI;WFM",4.3,0.56,57600.00
16,245,370,68,100,0.24,"Support;Tech","WFM;CTI",4.3,0.57,61440.00
17,260,350,72,98,0.23,"Support;Sales;Tech","CRM;IVR",4.3,0.58,65280.00
18,275,330,76,96,0.22,"Support;Tech","CRM;Training",4.4,0.59,69120.00
19,290,310,80,94,0.21,"Support;Sales","CRM;AI",4.4,0.60,72960.00
20,305,295,84,92,0.20,"Support;Tech","CRM;AI;WFM",4.4,0.61,76800.00
21,320,285,88,90,0.19,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.62,80640.00
22,335,275,92,88,0.18,"Support;Tech","CRM;AI;WFM",4.5,0.63,84480.00
23,350,265,96,86,0.17,"Support;Sales","CRM;AI;WFM",4.5,0.64,88320.00
24,365,255,100,84,0.16,"Support;Tech","CRM;AI;WFM",4.6,0.65,92160.00
25,380,245,104,82,0.15,"Support;Sales;Tech","CRM;AI;WFM",4.6,0.66,96000.00
26,395,235,108,80,0.14,"Support;Tech","CRM;AI;WFM",4.6,0.67,99840.00
27,410,225,112,78,0.13,"Support;Sales","CRM;AI;WFM",4.7,0.68,103680.00
28,425,215,116,76,0.12,"Support;Tech","CRM;AI;WFM",4.7,0.69,107520.00
29,440,205,120,74,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.7,0.70,111360.00
30,455,195,124,72,0.10,"Support;Tech","CRM;AI;WFM",4.8,0.71,115200.00
31,470,190,128,70,0.10,"Support;Sales","CRM;AI;WFM",4.8,0.72,119040.00
32,485,185,132,68,0.09,"Support;Tech","CRM;AI;WFM",4.8,0.73,122880.00
33,500,180,136,66,0.09,"Support;Sales;Tech","CRM;AI;WFM",4.8,0.74,126720.00
34,515,175,140,64,0.08,"Support;Tech","CRM;AI;WFM",4.9,0.75,130560.00
35,530,170,144,62,0.08,"Support;Sales","CRM;AI;WFM",4.9,0.76,134400.00
36,545,165,148,60,0.07,"Support;Tech","CRM;AI;WFM",4.9,0.77,138240.00
37,560,160,152,58,0.07,"Support;Sales;Tech","CRM;AI;WFM",4.9,0.78,142080.00
38,575,155,156,56,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.79,145920.00
39,590,150,160,54,0.06,"Support;Sales","CRM;AI;WFM",5.0,0.80,149760.00
40,605,148,164,53,0.06,"Support;Tech","CRM;AI;WFM",5.0,0.81,153600.00
41,620,146,168,52,0.05,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.82,157440.00
42,635,144,172,51,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.83,161280.00
43,650,142,176,50,0.05,"Support;Sales","CRM;AI;WFM",5.0,0.84,165120.00
44,665,140,180,49,0.05,"Support;Tech","CRM;AI;WFM",5.0,0.85,168960.00
45,680,138,184,48,0.04,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.86,172800.00
46,695,136,188,47,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.87,176640.00
47,710,134,192,46,0.04,"Support;Sales","CRM;AI;WFM",5.0,0.88,180480.00
48,725,132,196,45,0.04,"Support;Tech","CRM;AI;WFM",5.0,0.89,184320.00
49,740,130,200,44,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.90,188160.00
50,755,128,204,43,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.91,192000.00
51,770,126,208,42,0.03,"Support;Sales","CRM;AI;WFM",5.0,0.92,195840.00
52,785,124,212,41,0.03,"Support;Tech","CRM;AI;WFM",5.0,0.93,199680.00
53,800,122,216,40,0.03,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.94,203520.00
54,815,120,220,39,0.02,"Support;Tech","CRM;AI;WFM",5.0,0.95,207360.00
55,830,118,224,38,0.02,"Support;Sales","CRM;AI;WFM",5.0,0.96,211200.00
56,845,116,228,37,0.02,"Support;Tech","CRM;AI;WFM",5.0,0.97,215040.00
57,860,114,232,36,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,0.98,218880.00
58,875,112,236,35,0.02,"Support;Tech","CRM;AI;WFM",5.0,0.99,222720.00
59,890,110,240,34,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,226560.00
60,905,108,244,33,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,230400.00
61,920,106,248,32,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,234240.00
62,935,104,252,31,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,238080.00
63,950,102,256,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,241920.00
64,965,100,260,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,245760.00
65,980,98,264,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,249600.00
66,995,96,268,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,253440.00
67,1010,94,272,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,257280.00
68,1025,92,276,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,261120.00
69,1040,90,280,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,264960.00
70,1055,88,284,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,268800.00
71,1070,86,288,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,272640.00
72,1085,84,292,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,276480.00
73,1100,82,296,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,280320.00
74,1115,80,300,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,284160.00
75,1130,78,304,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,288000.00
76,1145,76,308,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,291840.00
77,1160,74,312,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,295680.00
78,1175,72,316,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,299520.00
79,1190,70,320,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,303360.00
80,1205,68,324,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,307200.00
81,1220,66,328,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,311040.00
82,1235,64,332,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,314880.00
83,1250,62,336,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,318720.00
84,1265,60,340,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,322560.00
85,1280,58,344,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,326400.00
86,1295,56,348,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,330240.00
87,1310,54,352,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,334080.00
88,1325,52,356,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,337920.00
89,1340,50,360,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,341760.00
90,1355,48,364,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,345600.00
91,1370,46,368,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,349440.00
92,1385,44,372,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,353280.00
93,1400,42,376,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,357120.00
94,1415,40,380,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,360960.00
95,1430,38,384,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,364800.00
96,1445,36,388,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,368640.00
97,1460,34,392,30,0.02,"Support;Sales;Tech","CRM;AI;WFM",5.0,1.00,372480.00
98,1475,32,396,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,376320.00
99,1490,30,400,30,0.02,"Support;Sales","CRM;AI;WFM",5.0,1.00,380160.00
100,1505,28,404,30,0.02,"Support;Tech","CRM;AI;WFM",5.0,1.00,384000.00
4,70,610,25,125,0.42,"Sales","None",3.5,0.39,16560.00
5,85,590,28,120,0.40,"Sales","None",3.6,0.41,18720.00
6,110,560,35,115,0.36,"Sales;Support","None",3.7,0.44,34560.00
7,130,540,40,110,0.34,"Support","CRM",3.8,0.46,40320.00
8,160,520,50,105,0.31,"Support;Sales","CRM",3.9,0.49,46080.00
9,200,500,60,100,0.29,"Support","Training",4.0,0.51,51840.00
10,240,480,70,95,0.27,"Support;Tech","CRM;Training",4.0,0.54,57600.00
12,300,460,80,90,0.25,"Support;Tech","CRM;IVR",4.1,0.56,69120.00
14,360,440,90,85,0.23,"Support;Sales","CRM;WFM",4.1,0.58,82944.00
16,420,420,100,80,0.21,"Support;Tech","CRM;AI",4.2,0.60,96768.00
18,480,400,110,78,0.20,"Support;Sales","CRM;AI",4.2,0.62,110592.00
20,540,380,120,75,0.19,"Support;Tech","CRM;AI;WFM",4.3,0.64,124416.00
22,600,360,130,72,0.18,"Support;Sales;Tech","CRM;AI;WFM",4.3,0.66,138240.00
24,660,340,140,70,0.17,"Support","CRM;WFM",4.3,0.67,152064.00
26,720,320,150,68,0.16,"Support;Sales","CRM;WFM",4.4,0.69,165888.00
28,780,300,160,66,0.15,"Support;Tech","WFM;CTI",4.4,0.70,179712.00
30,840,290,170,64,0.14,"Support;Sales","CRM;AI;WFM",4.5,0.71,193536.00
32,900,280,180,62,0.13,"Support;Tech","CRM;AI;CTI",4.5,0.72,207360.00
34,960,270,190,60,0.12,"Support;Sales;Tech","CRM;AI;CTI;WFM",4.6,0.73,221184.00
36,1020,260,200,58,0.11,"Support;Tech","CRM;AI;WFM",4.6,0.74,235008.00
3,45,720,18,140,0.48,"Sales","None",3.4,0.36,10368.00
4,60,700,22,135,0.45,"Sales;Support","None",3.5,0.38,13824.00
5,75,680,26,130,0.42,"Support","None",3.6,0.40,17280.00
6,90,660,30,125,0.39,"Support;Sales","CRM",3.7,0.43,20736.00
7,105,640,34,120,0.36,"Support;Tech","CRM",3.8,0.45,24192.00
8,120,620,38,115,0.34,"Support;Sales","CRM;IVR",3.9,0.47,27648.00
9,135,600,42,110,0.32,"Support;Tech","CRM;Training",4.0,0.49,31104.00
10,150,580,46,105,0.30,"Support;Sales","CRM;WFM",4.0,0.51,34560.00
11,165,560,50,100,0.29,"Support;Tech","CRM;AI",4.1,0.53,38016.00
12,180,540,54,98,0.28,"Support;Sales;Tech","CRM;AI",4.1,0.54,41472.00
13,195,520,58,96,0.27,"Support","CRM;AI;WFM",4.2,0.56,44928.00
14,210,500,62,94,0.26,"Support;Sales","CRM;AI;WFM",4.2,0.57,48384.00
15,225,480,66,92,0.25,"Support;Tech","WFM;CTI",4.2,0.58,51840.00
16,240,460,70,90,0.24,"Support;Sales","CRM;IVR",4.3,0.59,55296.00
17,255,440,74,88,0.23,"Support;Tech","CRM;Training",4.3,0.60,58752.00
18,270,420,78,86,0.22,"Support;Sales;Tech","CRM;AI",4.4,0.61,62208.00
19,285,400,82,84,0.21,"Support","CRM;AI;WFM",4.4,0.62,65664.00
20,300,380,86,82,0.20,"Support;Sales","CRM;AI;WFM",4.4,0.63,69120.00
21,315,360,90,80,0.19,"Support;Tech","CRM;AI;CTI",4.5,0.64,72576.00
22,330,340,94,78,0.18,"Support;Sales;Tech","CRM;AI;CTI;WFM",4.5,0.65,76032.00
23,345,320,98,76,0.17,"Support","CRM;AI;WFM",4.5,0.66,79488.00
24,360,300,102,74,0.16,"Support;Tech","CRM;AI;WFM",4.6,0.67,82944.00
25,375,290,106,72,0.15,"Support;Sales","CRM;AI;WFM",4.6,0.68,86400.00
26,390,280,110,70,0.14,"Support;Tech","CRM;AI;WFM",4.6,0.69,89856.00
27,405,270,114,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.7,0.70,93312.00
28,420,260,118,66,0.12,"Support;Tech","CRM;AI;WFM",4.7,0.71,96768.00
29,435,250,122,64,0.11,"Support;Sales","CRM;AI;WFM",4.7,0.72,100224.00
30,450,240,126,62,0.10,"Support;Tech","CRM;AI;WFM",4.8,0.73,103680.00
2,35,820,12,155,0.52,"Sales","None",3.3,0.34,6912.00
3,50,780,16,150,0.48,"Sales;Support","None",3.4,0.36,11520.00
4,65,740,20,145,0.44,"Support","None",3.5,0.38,15360.00
5,80,700,24,140,0.40,"Support;Sales","None",3.6,0.40,19200.00
6,95,660,28,135,0.37,"Support;Tech","CRM",3.7,0.42,23040.00
7,110,620,32,130,0.35,"Support;Sales","CRM",3.8,0.44,26880.00
8,125,580,36,125,0.33,"Support;Tech","CRM;IVR",3.9,0.46,30720.00
9,140,540,40,120,0.31,"Support;Sales;Tech","CRM;Training",4.0,0.48,34560.00
10,155,500,44,115,0.30,"Support;Tech","CRM;WFM",4.0,0.50,38400.00
11,170,470,48,110,0.29,"Support;Sales","CRM;AI",4.1,0.52,42240.00
12,185,450,52,108,0.28,"Support;Tech","CRM;AI",4.1,0.53,46080.00
13,200,430,56,106,0.27,"Support;Sales;Tech","CRM;AI;WFM",4.2,0.54,49920.00
14,215,410,60,104,0.26,"Support;Tech","CRM;AI;WFM",4.2,0.55,53760.00
15,230,390,64,102,0.25,"Support;Sales","CRM;AI;WFM",4.3,0.56,57600.00
16,245,370,68,100,0.24,"Support;Tech","WFM;CTI",4.3,0.57,61440.00
17,260,350,72,98,0.23,"Support;Sales;Tech","CRM;IVR",4.3,0.58,65280.00
18,275,330,76,96,0.22,"Support;Tech","CRM;Training",4.4,0.59,69120.00
19,290,310,80,94,0.21,"Support;Sales","CRM;AI",4.4,0.60,72960.00
20,305,295,84,92,0.20,"Support;Tech","CRM;AI;WFM",4.4,0.61,76800.00
